academic_term,academic_year,faculty_abbrev,faculty,subject_abbrev,subject,title,course_number_raw,course_credit_raw
Fall/Winter,2024-2025,SB,Schulich School of Business,ACTG,Accounting,Introduction To Financial Accounting I,2010,3.00
Fall/Winter,2024-2025,SB,Schulich School of Business,ACTG,Accounting,Management Accounting Concepts,2020,3.00
Fall/Winter,2024-2025,SB,Schulich School of Business,ACTG,Accounting,Intermediate Financial Accounting I,3110,3.00
Fall/Winter,2024-2025,ED,Faculty of Education,ACTG,Accounting,Teaching Accounting in the Intermediate-Senior Divisions - A,4000,3.00
Fall/Winter,2024-2025,SB,Schulich School of Business,ACTG,Accounting,Contemporary Issues In Accounting,4200,3.00
Fall/Winter,2024-2025,SB,Schulich School of Business,ACTG,Accounting,Auditing Standards & Applications,4600,3.00
Fall/Winter,2024-2025,SB,Schulich School of Business,ACTG,Accounting,Advanced Income Taxation,4720,3.00
Fall/Winter,2024-2025,SB,Schulich School of Business,ACTG,Accounting,Financial Accounting For Managers,5100,3.00
Fall/Winter,2024-2025,SB,Schulich School of Business,ACTG,Accounting,Financial Decisions for Managers,5200,3.00
Fall/Winter,2024-2025,SB,Schulich School of Business,ACTG,Accounting,Management Accounting,5210,1.50
Fall/Winter,2024-2025,SB,Schulich School of Business,ACTG,Accounting,Intermediate Financial Accounting for Finance Majors,6130,3.00
Fall/Winter,2024-2025,SB,Schulich School of Business,ACTG,Accounting,Advanced Financial Accounting,6160,3.00
Fall/Winter,2024-2025,SB,Schulich School of Business,ACTG,Accounting,Financial Reporting and Analysis,6250,3.00
Fall/Winter,2024-2025,SB,Schulich School of Business,ACTG,Accounting,Advanced Management Accounting,6550,1.50
Fall/Winter,2024-2025,SB,Schulich School of Business,ACTG,Accounting,Advanced Auditing,6610,3.00
Fall/Winter,2024-2025,SB,Schulich School of Business,ACTG,Accounting,Advanced Income Taxation,6720,3.00
Fall/Winter,2024-2025,SB,Schulich School of Business,ACTG,Accounting,Individual Study:  Accounting,6900,1.50
Fall/Winter,2024-2025,SB,Schulich School of Business,ACTG,Accounting,Overview of Accounting Research,7010,3.00
Fall/Winter,2024-2025,SB,Schulich School of Business,ACTG,Accounting,Independent Study - Accounting,7900,3.00
Fall/Winter,2024-2025,GS,Faculty of Graduate Studies,ADLW,Overview and Current Developments,Selected Topics in Administrative Law,6701,3.00
Fall/Winter,2024-2025,GS,Faculty of Graduate Studies,ADLW,Overview and Current Developments,Current Issues in Judicial Review of Administrative Action,6762,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Introduction to Business,1000,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Exploring the Functions of Business,1010,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Accounting for Non-Financial Managers,1550,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Introductory Marketing,2200,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Business Statistics Through Applications,2310,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Introduction to Organizational Behaviour,2400,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Introduction to Management Accounting,2510,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Introduction to Personal Finance,2541,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Fundamentals of Emergency Management,2700,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Introduction to innovation and creativity,2920,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Internship Work Term,3010,0.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Consumer Behaviour,3210,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Decision Analysis,3300,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Operations Management,3351,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Project Management,3353,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Advanced Spreadsheets for Business Applications,3370,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Equity, Diversity and Inclusion in the Workplace,3450,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Managerial Cost Accounting and Analysis,3510,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,An Overview of Canadian Income Taxation,3520,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Public Sector Budget Process,3524,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Personal Investment Management,3531,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Intermediate Financial Accounting I,3585,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Business Ethics and Corporate Social Responsibility,3660,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Comprehensive Emergency Management: Integrating Critical Knowledge with Practice,3702,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Emergency Management Communications,3704,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Disasters and Humans,3706,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Social Issues in Disaster Management,3708,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Real Estate Law I,3820,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,The Practice of General Management,3900,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Social entrepreneurship and innovation,3950,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Hackathon I,3990,1.50
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Interdisciplinary Capstone Project,4002,6.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Personal Selling and Sales Force Management,4200,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Live-Client Learning Marketing,4211,3.00
